hub_a,hub_b,kind,similarity,slug_a,slug_b,title_a,title_b
mistakes.csv,mistakes.csv,similar,0.938,noise-vibration-mis-s35,vibration-mgmt-mis-s40,騒音振動管理の典型誤答（基礎整理）,振動管理の典型誤答（基礎整理）
mistakes.csv,mistakes.csv,similar,0.938,record-retention-mis-s35,record-retention-period-mis-s40,記録保存の典型誤答（基礎整理）,記録保存期間の典型誤答（基礎整理）
mistakes.csv,mistakes.csv,similar,0.882,noise-vibration-mis-s36,noise-hearing-mgmt-mis-s41,騒音振動管理の典型誤答（実務連動）,騒音聴力管理の典型誤答（実務連動）
mistakes.csv,mistakes.csv,similar,0.938,noise-vibration-mis-s36,vibration-mgmt-mis-s41,騒音振動管理の典型誤答（実務連動）,振動管理の典型誤答（実務連動）
mistakes.csv,mistakes.csv,similar,0.938,record-retention-mis-s36,record-retention-period-mis-s41,記録保存の典型誤答（実務連動）,記録保存期間の典型誤答（実務連動）
mistakes.csv,mistakes.csv,similar,0.882,noise-vibration-mis-s37,noise-hearing-mgmt-mis-s42,騒音振動管理の典型誤答（試験頻出）,騒音聴力管理の典型誤答（試験頻出）
mistakes.csv,mistakes.csv,similar,0.938,noise-vibration-mis-s37,vibration-mgmt-mis-s42,騒音振動管理の典型誤答（試験頻出）,振動管理の典型誤答（試験頻出）
mistakes.csv,mistakes.csv,similar,0.938,record-retention-mis-s37,record-retention-period-mis-s42,記録保存の典型誤答（試験頻出）,記録保存期間の典型誤答（試験頻出）
mistakes.csv,mistakes.csv,similar,0.889,committee-operation-mis-s38,committee-minutes-mis-s43,委員会運営の典型誤答（判例・ガイド）,委員会議事の典型誤答（判例・ガイド）
mistakes.csv,mistakes.csv,similar,0.889,ppe-selection-mis-s38,ppe-mgmt-mis-s43,保護具選定の典型誤答（判例・ガイド）,保護具管理の典型誤答（判例・ガイド）
mistakes.csv,mistakes.csv,similar,0.895,noise-vibration-mis-s38,noise-hearing-mgmt-mis-s43,騒音振動管理の典型誤答（判例・ガイド）,騒音聴力管理の典型誤答（判例・ガイド）
mistakes.csv,mistakes.csv,similar,0.944,noise-vibration-mis-s38,vibration-mgmt-mis-s43,騒音振動管理の典型誤答（判例・ガイド）,振動管理の典型誤答（判例・ガイド）
mistakes.csv,mistakes.csv,similar,0.944,record-retention-mis-s38,record-retention-period-mis-s43,記録保存の典型誤答（判例・ガイド）,記録保存期間の典型誤答（判例・ガイド）
mistakes.csv,mistakes.csv,similar,0.882,noise-vibration-mis-s39,noise-hearing-mgmt-mis-s44,騒音振動管理の典型誤答（横断総合）,騒音聴力管理の典型誤答（横断総合）
mistakes.csv,mistakes.csv,similar,0.938,noise-vibration-mis-s39,vibration-mgmt-mis-s44,騒音振動管理の典型誤答（横断総合）,振動管理の典型誤答（横断総合）
mistakes.csv,mistakes.csv,similar,0.938,record-retention-mis-s39,record-retention-period-mis-s44,記録保存の典型誤答（横断総合）,記録保存期間の典型誤答（横断総合）
