開催年数,開催月,問番号,科目,問,(1),(2),(3),(4),(5),正答番号,解説
令和7年,後期,11,労働衛生,"1,000人を対象としたスクリーニング検査結果（疾病有り：陽性35・陰性10、疾病無し：陽性160・陰性795）における偽陽性率と偽陰性率の近似値の組合せとして適切なものはどれか。（偽陽性率＝疾病無しの者を陽性と判定する率、偽陰性率＝疾病有りの者を陰性と判定する率）",偽陽性率16.0% 偽陰性率0.1%,偽陽性率16.0% 偽陰性率1.2%,偽陽性率16.8% 偽陰性率1.2%,偽陽性率16.8% 偽陰性率22.2%,偽陽性率20.1% 偽陰性率22.2%,4,正答は4。偽陽性率は疾病なし955人中の陽性160人なので160÷955で約16.8%。偽陰性率は疾病あり45人中の陰性10人なので10÷45で約22.2%。したがって4の組合せが適切である。
令和7年,後期,12,労働衛生,食中毒に関する記述のうち、誤っているものはどれか。,毒素型食中毒は食物に付着した細菌により産生された毒素によって起こる食中毒で、カンピロバクターによるものなどがある。,ボツリヌス菌による毒素は神経毒である。,黄色ブドウ球菌による毒素は熱に強い。,腸炎ビブリオ菌は病原性好塩菌ともいわれる。,ノロウイルスの失活化には煮沸消毒または塩素系の消毒剤が効果的である。,1,正答は1。毒素型食中毒は、食品中で産生された毒素により発症するものをいう。カンピロバクターは主に感染型食中毒の原因菌であり、毒素型の代表例ではないため、この記述は誤り。
令和7年,後期,13,労働衛生,一次救命処置に関する記述のうち、誤っているものはどれか。,一次救命処置はできる限り単独で行うことは避け大声で周囲に呼びかけ応援を求める。,傷病者の胸と腹部の動きを観察し上下に動いていない場合やよくわからない場合は心停止とみなし心肺蘇生を開始する。,胸骨圧迫は胸が約5cm沈む強さで胸骨の上半分を圧迫し1分間に100〜120回のテンポで行う。,気道を確保するためには片手で額を押さえながらもう一方の手の指であご先を上に引き上げるようにする。,AEDを用いた場合、電気ショックを行った後や電気ショック不要の音声メッセージが出たときは胸骨圧迫を再開し心肺蘇生を続ける。,3,正答は3。胸骨圧迫は、胸骨の下半分を圧迫し、成人では胸が約5cm沈む強さで、1分間に100〜120回のテンポで行う。胸骨の上半分を圧迫するとする点が誤りである。
令和7年,後期,14,労働衛生,温熱条件に関する記述のうち、誤っているものはどれか。,温度感覚を左右する環境要素は気温・湿度・気流及びふく射（放射）熱である。,実効温度は人の温熱感に基礎を置いた指標で気温・湿度・気流の総合効果を温度目盛りで表したものである。,相対湿度は空気中の水蒸気量とその温度における飽和水蒸気量との比を百分率で示したものである。,WBGTは自然湿球温度・黒球温度・気温（乾球温度）から求められる指標で暑熱環境による熱ストレス評価に用いられる。,算出したWBGTの値が作業内容に応じて設定されたWBGT基準値未満である場合には熱中症が発生するリスクが高まる。,5,正答は5。WBGT値が作業内容に応じた基準値以上になるほど、熱中症リスクが高くなる。基準値未満でリスクが高まるとする記述は逆であり、誤りである。
令和7年,後期,15,労働衛生,「事業場における労働者の健康保持増進のための指針」に基づく健康保持増進対策に関する記述のうち、適切でないものはどれか。,健康保持増進措置は個々の労働者に対して実施するものと労働者を集団として捉えて実施するものがある。,健康保持増進に関する課題の把握や目標設定においては労働者の健康状態等を客観的に把握できる数値を活用することが望ましい。,健康測定の結果に基づき行う健康指導には運動指導・メンタルヘルスケア・栄養指導・口腔保健指導・保健指導が含まれる。,健康保持増進対策の推進に当たっては衛生委員会等を活用する。,医療保険者と連携したコラボヘルス等のためであっても定期健康診断の結果の記録等の数値を医療保険者に提供してはならない。,5,正答は5。健康保持増進対策では、医療保険者と連携したコラボヘルス等も重要であり、法令や個人情報保護に配慮した上で健診結果等を活用することがある。一律に提供してはならないとする記述は適切でない。
令和7年,後期,16,労働衛生,骨折に関する記述のうち、正しいものはどれか。,単純骨折とは骨にひびが入った状態をいう。,不完全骨折では骨折端どうしが擦れ合う軋轢音や変形などが認められる。,骨折が疑われる部位はよく動かしてその程度を判断する必要がある。,骨折に対する処置として副子を手や足に当てるときは骨折部分の上下の関節まで固定できる長さでかつ幅の広いものを用いる。,脊髄損傷が疑われる場合は硬い板の上に乗せて搬送してはならない。,4,正答は4。骨折が疑われる場合は、骨折部の上下の関節まで固定できる長さで、幅の広い副子を用いて安静を保つ。むやみに動かしたり、脊髄損傷が疑われる者を不安定に搬送したりしてはならない。
令和7年,後期,17,労働衛生,脳血管疾患及び虚血性心疾患に関する記述のうち、誤っているものはどれか。,虚血性の脳血管疾患である脳梗塞は脳血管自体の動脈硬化性病変による脳塞栓症と心臓や動脈壁の血栓が剥がれて脳血管を閉塞する脳血栓症に分類される。,高血圧性脳症は急激な血圧上昇が誘因となって脳が腫脹する病気で頭痛・悪心・嘔吐・意識障害・視力障害・けいれんなどの症状がみられる。,虚血性心疾患は冠動脈による心筋への血液の供給が不足したり途絶えることにより起こる心筋障害である。,虚血性心疾患は心筋の一部分に可逆的な虚血が起こる狭心症と不可逆的な心筋壊死が起こる心筋梗塞とに大別される。,運動負荷心電図検査は虚血性心疾患の発見に有用である。,1,正答は1。脳血管自体の動脈硬化性病変により血管が詰まるものは脳血栓症、心臓や動脈壁の血栓が剥がれて脳血管を閉塞するものは脳塞栓症である。肢1は両者の説明が逆である。
令和7年,後期,18,労働衛生,「職場における腰痛予防対策指針」に基づく重量物取扱い作業における腰痛予防対策に関する記述のうち、誤っているものはどれか。,著しく重心の偏っている荷物はその旨を明示する。,労働者全員に腰部保護ベルトを使用させる。,満18歳以上の男性労働者が人力のみにより取り扱う物の重量は体重のおおむね40%以下とする。,床面などから荷物を持ち上げる場合には片足を少し前に出し膝を曲げ腰を十分に降ろして荷物をかかえ膝を伸ばすことによって立ち上がる。,当該作業に配置する際及びその後6か月以内ごとに1回定期に腰痛の健康診断を実施する。,2,正答は2。腰部保護ベルトは必要に応じて使用を検討する補助的な対策であり、労働者全員に一律に使用させるものではない。重量物取扱いでは、重量制限、作業姿勢、機械化、複数人作業などを総合的に考える。
令和7年,後期,19,労働衛生,"事務室内において、空気を外気と入れ換えて二酸化炭素濃度を1,000ppm以下に保った状態で、在室することのできる最大の人数は次のうちどれか。ただし、外気の二酸化炭素濃度を400ppm、外気と入れ換える空気量を600m3/h、1人当たりの呼出二酸化炭素量を0.018m3/hとする。",14人,16人,18人,20人,22人,4,"正答は4。許容できる二酸化炭素増加分は1,000ppm−400ppm＝600ppm、すなわち0.0006である。600m3/h×0.0006＝0.36m3/h、これを1人当たり0.018m3/hで割ると20人となる。"
令和7年,後期,20,労働衛生,採光・照明などに関する記述のうち、正しいものはどれか。,照度の単位はルクスで1ルクスは光度1カンデラの光源から10m離れた所でその光に直角な面が受ける明るさに相当する。,高齢者は若年者に比較して一般に高い照度が必要であるが水晶体の混濁によりまぶしさを感じやすくなっている場合もあるので注意が必要である。,部屋の彩色に当たり目の高さから上の壁及び天井はまぶしさを防ぐため濁色にするとよい。,前方から明かりをとるとき目と光源を結ぶ線と視線とが作る角度は30°以下になるようにする。,全般照明の照度は作業面の局部照明による照度の10分の1以下になるようにする。,2,正答は2。高齢者は一般に若年者より高い照度を必要とする一方、水晶体の混濁などによりまぶしさを感じやすい場合があるため、照度だけでなくグレア防止にも配慮する必要がある。
令和7年,後期,21,労働生理,感覚又は感覚器に関する記述のうち、正しいものはどれか。,物理化学的な刺激の量と人間が意識する感覚の強度とは直線的な比例関係にある。,皮膚感覚のうち冷覚を感じる冷覚点の密度は他の感覚点に比べて高い。,内臓感覚は内臓痛などとして部位の特定ができる鋭敏な感覚である。,網膜の錐状体は色を感じ杆状体は明暗を感じる。,平衡感覚に関係する前庭及び半規管は中耳にあって体の傾きや回転の方向を知覚する。,4,正答は4。網膜の錐状体は明るい所で働き、主に色を感じる。杆状体は暗い所で働き、明暗や弱い光を感じる。錐状体と杆状体の役割を逆にしないことが重要である。
令和7年,後期,22,労働生理,消化器系に関する記述のうち、誤っているものはどれか。,無機塩及びビタミン類は酵素による分解を受けないでそのまま吸収される。,唾液はデンプンをより小さい糖に分解する消化酵素を含む。,ペプシノーゲンは胃酸によってペプシンという消化酵素になり蛋白質を分解する。,胆汁は酸性で消化酵素は含まないが食物中の脂肪を乳化させ脂肪分解の働きを助ける。,小腸の表面はビロード状の絨毛という小突起で覆われており栄養素の吸収の効率を上げるために役立っている。,4,正答は4。胆汁はアルカリ性で、消化酵素は含まないが、脂肪を乳化して脂肪分解を助ける。酸性であるとする点が誤りである。
令和7年,後期,23,労働生理,神経系に関する記述のうち、誤っているものはどれか。,神経細胞の細胞体が集合しているところを中枢神経系では神経節といい末梢神経系では神経核という。,中枢神経系は脳と脊髄から成る。,有髄神経線維は無髄神経線維よりも神経伝導速度が速い。,交感神経と副交感神経は同一器官に分布していてもその作用はほぼ正反対である。,大脳の外側の皮質は感覚・思考などの作用を支配する中枢として機能する。,1,正答は1。神経細胞の細胞体が集まる部位は、中枢神経系では神経核、末梢神経系では神経節という。肢1はこの名称を逆にしているため誤り。
令和7年,後期,24,労働生理,肝臓の機能として、誤っているものはどれか。,コレステロールを合成する。,尿素を合成する。,ヘモグロビンを合成する。,血液中の身体に有害な物質を分解する。,グリコーゲンを合成し及び分解する。,3,正答は3。ヘモグロビンは赤血球に含まれる色素であり、主に骨髄で作られる赤血球の形成と関係する。肝臓の主な機能は、胆汁生成、解毒、栄養素の代謝、尿素合成などであり、ヘモグロビン合成は肝臓の機能ではない。
令和7年,後期,25,労働生理,腎臓又は尿に関する記述のうち、正しいものはどれか。,尿は淡黄色の液体で固有の臭気を有し通常弱アルカリ性である。,血中の蛋白質は糸球体からボウマン嚢に濾し出される。,血中の老廃物は尿細管からボウマン嚢に濾し出される。,原尿中に濾し出された水分の大部分はそのまま尿として排出される。,原尿中に濾し出された電解質の多くは尿細管から血中に再吸収される。,5,正答は5。腎臓では、糸球体で濾過された原尿中の水分や電解質、栄養分などが尿細管で再吸収される。電解質の多くが血中に戻されるという記述が正しい。
令和7年,後期,26,労働生理,血液に関する記述のうち、誤っているものはどれか。,血液は血漿と有形成分から成り血漿にはアルブミン・グロブリンなどの蛋白質が含まれている。,赤血球は血球の中で最も多く全血液の体積の約60%を占めている。,血小板は核を持たない不定形の細胞で血液凝固作用に関与している。,出血すると血漿中のフィブリノーゲンがフィブリンに変化し血球と結合して凝固する。,ABO式血液型はA型の血清は抗B抗体を持つ。,2,正答は2。赤血球は血球の中で最も多いが、全血液量に占める赤血球容積の割合はヘマトクリットで、成人男性でおおむね45%前後である。約60%を占めるとする記述は誤り。
令和7年,後期,27,労働生理,視覚に関する記述のうち、誤っているものはどれか。,遠見視力の検査は一般に5mの距離で実施する。,眼を使う作業を継続すると硝子体の厚みを調節するときに毛様体筋の緊張や脳の疲労によって目が疲れる・目が痛いなどの症状がみられることがある。,角膜が歪んでいたり表面に凹凸があるために眼軸などに異常がなくても物体の像が網膜上に正しく結ばれないものを乱視という。,視野とは眼の前の一点を凝視したときに見えている空間の範囲をいい一般に上方及び鼻側は約60度・下方は約70度・耳側は約100度である。,明るい所から急に暗い所に入ると初めは見えにくいが暗順応によって徐々に見えるようになる。,2,正答は2。焦点調節は水晶体の厚さを毛様体筋が変化させることで行われる。硝子体の厚みを調節するという記述は誤りであり、眼精疲労の説明としても不適切である。
令和7年,後期,28,労働生理,体温調節に関する記述のうち、誤っているものはどれか。,計算上100gの水分が体重70kgの人の体表面から蒸発すると気化熱が奪われ体温が約1℃下がる。,外部環境などが変化しても身体内部の状態を一定に保とうとする性質を恒常性（ホメオスタシス）という。,体温調節中枢は間脳の視床下部にある。,発汗とは水分が皮膚から蒸発する現象をいい不感蒸泄とは水分が呼気により失われる現象をいう。,寒冷な環境においては皮膚の血管が収縮して血流量が減って熱の放散が減少する。,4,正答は4。発汗は汗腺から汗が分泌される現象であり、不感蒸泄は発汗として自覚されない皮膚や呼気からの水分喪失をいう。発汗と不感蒸泄の説明を取り違えているため誤り。
令和7年,後期,29,労働生理,免疫に関する記述のうち、誤っているものはどれか。,抗原とは免疫に関係する細胞によって異物として認識される物質のことである。,抗原となる物質には蛋白質・糖質などがある。,抗原に対する免疫が逆に人体の組織や細胞に傷害を与えてしまうことをアレルギーといい主なアレルギー性疾患としては気管支ぜんそく・アトピー性皮膚炎などがある。,好中球は白血球の一種であり偽足を出してアメーバ様運動を行い体内に侵入してきた細菌などを貪食する。,免疫にはリンパ球が産生する抗体によって病原体を攻撃する細胞性免疫とリンパ球などが直接に病原体などを取り込んで排除する体液性免疫の二つがある。,5,正答は5。抗体により病原体を攻撃するものは体液性免疫であり、リンパ球などが直接病原体等を攻撃するものは細胞性免疫である。肢5は体液性免疫と細胞性免疫の説明が逆である。
令和7年,後期,30,労働生理,中高年齢者における加齢による生理機能などの変化に関する記述のうち、誤っているものはどれか。,加齢により動体視力が衰える。,加齢により体温調節機能が低下して熱中症が起こりやすくなる。,加齢により骨密度が減少し筋力が低下して骨折しやすくなる。,加齢により平衡感覚が低下して転びやすくなる。,"老人性難聴では1,000Hzより低い音域の音から聞こえにくくなる。",5,"正答は5。老人性難聴では、一般に高い周波数の音から聞こえにくくなる。1,000Hzより低い音域から聞こえにくくなるとする記述は誤りである。"
令和7年,前期,1,関係法令,事業場の衛生管理体制に関する次の記述のうち、法令上、誤っているものはどれか。ただし、衛生管理者及び産業医の選任の特例はないものとする。,"常時500人を超え1,000人以下の労働者を使用し、そのうち、深夜業を含む業務に常時30人以上の労働者を従事させる事業場では、衛生管理者のうち少なくとも1人を専任の衛生管理者としなければならない。","常時1,000人を超え2,000人以下の労働者を使用する事業場では、4人以上の衛生管理者を選任しなければならない。",常時50人以上の労働者を使用するゴルフ場業の事業場では、第二種衛生管理者免許を有する者のうちから衛生管理者を選任することができる。,"常時1,000人以上の労働者を使用する事業場では、その事業場に専属の産業医を選任しなければならない。",衛生管理者を選任したときは、遅滞なく、その氏名等を所轄労働基準監督署長に報告しなければならない。,1,"正答は1。常時500人を超え1,000人以下の事業場で専任の衛生管理者が必要となるのは、法定の有害業務に常時30人以上従事させる場合である。深夜業はこの専任要件の有害業務には含まれないため、本肢は誤り。"
令和7年,前期,2,関係法令,衛生管理者が管理すべき業務として、法令上、定められていないものは次のうちどれか。ただし、次のそれぞれの業務のうち衛生に係る技術的事項に限るものとする。,労働災害の原因の調査及び再発防止対策に関すること。,安全衛生に関する方針の表明に関すること。,少なくとも毎日1回作業場等を巡視し、衛生状態に有害のおそれがあるときは、直ちに、労働者の健康障害を防止するため必要な措置を講ずること。,化学物質等による危険性又は有害性等の調査及びその結果に基づき講ずる措置に関すること。,健康診断の実施その他健康の保持増進のための措置に関すること。,3,正答は3。衛生管理者の作業場等の巡視は少なくとも毎週1回であり、毎日1回ではない。毎日巡視とする記述は頻度を誤っているため、衛生管理者が管理すべき業務として法令上定められていない。
令和7年,前期,3,関係法令,衛生委員会に関する次の記述のうち、法令上、誤っているものはどれか。,衛生委員会の議長を除く委員の半数については、事業場に労働者の過半数で組織する労働組合がないときは、労働者の過半数を代表する者の推薦に基づき指名しなければならない。,衛生委員会の議長は、原則として、総括安全衛生管理者又は総括安全衛生管理者以外の者で事業場においてその事業の実施を統括管理するもの若しくはこれに準ずる者のうちから事業者が指名した委員がなるものとする。,事業場に専属ではないが、衛生管理者として選任している労働衛生コンサルタントを、衛生委員会の委員として指名することができる。,作業環境測定を外部の作業環境測定機関に委託して実施している場合、当該作業環境測定を実施している作業環境測定士を、衛生委員会の委員として指名することができる。,衛生委員会の付議事項には、長時間にわたる労働による労働者の健康障害の防止を図るための対策の樹立に関することが含まれる。,4,正答は4。衛生委員会の委員として指名できる作業環境測定士は、当該事業場の労働者で作業環境測定を実施している者である。外部の作業環境測定機関の測定士を当然に委員として指名できるわけではない。
令和7年,前期,4,関係法令,常時使用する労働者数が100人の事業場で、法令上、総括安全衛生管理者の選任が義務付けられている業種は、次のうちどれか。,医療業,熱供給業,通信業,水道業,清掃業,5,正答は5。常時100人の事業場で総括安全衛生管理者の選任が義務付けられる業種には、清掃業などが含まれる。他の選択肢は、この規模では選任義務の対象とならない業種である。
令和7年,前期,5,関係法令,労働安全衛生法に基づく心理的な負担の程度を把握するための検査の結果に基づき実施する面接指導に関する次の記述のうち、正しいものはどれか。,常時50人以上の労働者を使用する事業者は、1年以内ごとに1回、定期に、心理的な負担の程度を把握するための検査及び面接指導の結果を所轄労働基準監督署長に報告しなければならない。,事業者は、面接指導の対象となる労働者の要件に該当する労働者から申出があったときは、申出の日から3か月以内に、面接指導を行わなければならない。,事業者は、面接指導を行った場合は、当該面接指導の結果を当該事業場の当該部署に所属する労働者の集団その他の一定規模の集団ごとに集計し、その結果について分析しなければならない。,面接指導の結果は、健康診断個人票に記載しなければならない。,面接指導を行う医師として事業者が指名できる医師は、法定の研修を修了した医師に限られる。,1,正答は1。常時50人以上の労働者を使用する事業者は、ストレスチェックと面接指導の実施状況について、1年以内ごとに1回、所轄労働基準監督署長へ報告する必要がある。
令和7年,前期,6,関係法令,労働安全衛生規則に基づく医師による雇入時の健康診断に関する次の記述のうち、誤っているものはどれか。,事業場に雇い入れる日の6か月前に医師による健康診断を受けた労働者に対しても、法定の全ての項目について雇入時の健康診断を行わなければならない。,"雇入時の健康診断における聴力の検査は、1,000Hz及び4,000Hzの音に係る聴力について行わなければならない。",50人以上の労働者に対して雇入時の健康診断を行ったときは、遅滞なく、その結果を所轄労働基準監督署長に報告しなければならない。,事業場において実施した雇入時の健康診断の項目に異常の所見があると診断された労働者については、その結果に基づき、健康を保持するために必要な措置について、健康診断が行われた日から3か月以内に、医師の意見を聴かなければならない。,雇入時の健康診断の結果に基づき、健康診断個人票を作成して、これを5年間保存しなければならない。,3,正答は3。雇入時健康診断の結果については、定期健康診断のような所轄労働基準監督署長への結果報告義務はない。50人以上に実施したら報告が必要とする記述は誤り。
令和7年,前期,7,関係法令,事業場の建築物、施設等に関する措置について、労働安全衛生規則の衛生基準に違反しているものは次のうちどれか。,常時40人の労働者を就業させている屋内作業場の気積が、設備の占める容積及び床面から3mを超える高さにある空間を除き400m3となっている。,ねずみ、昆虫等の発生場所、生息場所及び侵入経路並びにねずみ、昆虫等による被害の状況について、6か月ごとに1回、定期に、統一的に調査を実施し、その調査結果に基づき、必要な措置を講じている。,男性5人を含む常時30人の労働者が就業している事業場で、女性用には臥床することのできる休養室を設けているが、男性用には、臥床することのできない休憩設備を利用させている。,事業場に附属する食堂の床面積を、食事の際の1人について、1m2を超えるようにしている。,事業場に附属する炊事場の入口には、洗浄剤を含浸させたマットを設置して、土足のままでも立ち入ることができるようにしている。,5,正答は5。炊事場は清潔を保持し、土足による汚染を防ぐ必要がある。洗浄剤を含ませたマットを置いて土足で立ち入れるようにする扱いは、衛生基準に違反する。
令和7年,前期,8,関係法令,事務室の設備の定期的な点検等に関する次の記述のうち、法令上、正しいものはどれか。,機械による換気のための設備については、3か月以内ごとに1回、定期に、異常の有無を点検しなければならない。,空気調和設備の冷却塔及び冷却水については、原則として、1か月以内ごとに1回、定期に、その汚れの状況を点検しなければならない。,空気調和設備内に設けられた排水受けについては、原則として、2か月以内ごとに1回、定期に、その汚れ及び閉塞の状況を点検しなければならない。,空気調和設備の加湿装置については、原則として、2か月以内ごとに1回、定期に、その汚れの状況を点検しなければならない。,燃焼器具を使用するときは、発熱量が著しく少ないものを除き、1か月以内ごとに1回、定期に、異常の有無を点検しなければならない。,2,正答は2。空気調和設備の冷却塔及び冷却水は、原則として1か月以内ごとに1回、汚れの状況を点検する必要がある。設備ごとの点検周期を区別して覚えることが重要である。
令和7年,前期,9,関係法令,労働基準法における労働時間等に関する次の記述のうち、正しいものはどれか。,監視又は断続的労働に従事する労働者であって、所轄労働基準監督署長の許可を受けたものについては、労働時間、休憩及び休日に関する規定は適用されない。,1日8時間を超えて労働させることができるのは、時間外労働の協定を締結し、これを所轄労働基準監督署長に届け出た場合に限られている。,フレックスタイム制の清算期間は、6か月以内の期間に限られる。,満20歳未満の者については、時間外・休日労働をさせることはできない。,労働時間が8時間を超える場合においては少なくとも60分、12時間を超える場合においては少なくとも90分の休憩時間を労働時間の途中に与えなければならない。,1,正答は1。監視又は断続的労働に従事する者で、所轄労働基準監督署長の許可を受けた場合には、労働時間、休憩及び休日に関する規定が適用除外となる。
令和7年,前期,10,関係法令,週所定労働時間が24時間、週所定労働日数が4日である労働者であって、雇入れの日から起算して3年6か月継続勤務したものに対して、その後1年間に新たに与えなければならない年次有給休暇日数として、法令上、正しいものは次のうちどれか。ただし、その労働者はその直前の1年間に全労働日の8割以上出勤したものとする。,9日,10日,11日,12日,13日,2,正答は2。週所定労働時間24時間、週4日勤務は比例付与の対象である。週4日、継続勤務3年6か月、出勤率8割以上の場合、新たに付与される年次有給休暇は10日である。
