カテゴリ,用語,解説
労働衛生,リスクアセスメント,化学物質などの危険性と、労働者がどれだけ触れるかを整理し、リスクを下げるための対策を決める考え方です。対策には優先順位があり、発散そのものを減らす・局所排気で捕集する・工程を隔離するといった工程側の対策を優先し、どうしても必要なときに保護具で補う、という流れが基本です。試験では「順序」や「記録・見直し」が問われやすいです。
労働衛生,作業環境評価,測定結果などを踏まえて、作業環境が法令上どの管理区分に該当するかを判断する流れです。一度評価したら終わりではなく、改善工事の後や一定期間ごとに再評価が必要になる場面もあります。「測定→区分判定→表示・記録→改善→再評価」という一連の物語として覚えると、条文の細部も地図上の位置が分かりやすくなります。
労働衛生,全面換気／置換換気,部屋全体の空気を入れ替えたり、きれいな空気で置き換えたりして、有害物の濃度を下げる方法です。局所排気が「発生源のそばで捕る」一方で、全面換気は「部屋全体を希釈する」イメージです。有害物の発生が広くて局所が難しい場合などに検討されますが、濃度管理の観点では局所排気が優先される場面が多い、という整理も試験で効きます。
労働衛生,許容濃度・許容濃度等,作業環境の空気中濃度が、目安として許される範囲を示す考え方（制度・指標の呼び方は試験範囲の用語に合わせる）です。測定結果と比較して、換気や工程改善が必要かを判断する材料になります。単位の読み方や、測定条件が悪いときの扱いなどは細かいので、公式の学習資料の定義に沿って「言葉の意味」と「使われ方」をセットで押さえるのが安全です。
労働衛生,特別有機溶剤等／第1種・第2種有機溶剤等,有機溶剤中毒予防規則で溶剤を分類した名称です。名前が似ているので紛らわしいですが、区分が変わると義務（局所排気、評価、作業主任者など）のセットも変わります。暗記は苦手でも、一覧表に「区分名→義務のチェック欄」を作ると、肢の選択で迷う時間を短くできます。
労働衛生,捕集分析法,空気中の有害物質をいったん捕集材に取り込み、後から分析機器で濃度を求める測定の流れです。流量を正しく合わせる（流量校正）、決められた時間吸引する、試料を分析する、という手順が一つでも抜けると結果が信じられなくなります。試験では手順の順番や、流量がずれたときの影響などが問われやすいです。
労働衛生,ミゼットインピンジャー,ガス状物質を液体に吸収させて捕集する、いわゆる「小さな洗気びん」型の代表的な捕集器具です。吸引流量や捕集液の種類は対象物質によって決まります。現場の話と結びつけると、「泡がしっかり立つくらい吸引しているか」「液が飛び散っていないか」など、失敗パターンも含めて理解が深まります。
労働衛生,直接読み取り式測定,捕集して後分析するのではなく、測定器がその場で濃度を示す方法です。手軽で即時性がある反面、測定できる物質や濃度域が機器に依存します。試験では捕集分析法との違い（精度・即時性・対象物質）が比較問題になりやすいので、「いつ直接読み取りが向くか」を文章で言えるとよいです。
労働衛生,個人用保護具,マスクや保護メガネ、防護服など、労働者個人が身につけてリスクを下げる道具です。ただし保護具は万能ではなく、工程側で発散を減らす・局所排気するなどの対策が先、というのが原則です。選定（適合するか）、着用のしやすさ、点検・交換のルールもセットで問われます。
労働衛生,SDS（安全データシート）,化学物質や混合物の危険有害性、取扱い、緊急時の措置などをまとめた文書です。リスクアセスメントでは、物質の性質や有害性の情報源として参照されます。現場では「届いていない」「古い」「読まれていない」が問題になりやすく、試験でも情報の更新や周知が論点になることがあります。
労働衛生,気中濃度／発散源,気中濃度は空気中にどれだけ有害物が混ざっているか、発散源はどこから漏れているかという基本語です。対策の設計では、まず発散源を特定し、濃度がどこで高くなるかを見ます。局所排気のフード位置や、換気の効き方を考えるときの出発点になります。
労働衛生,除じん・空気清浄装置,局所排気装置の流れの中で、粒子状物質を取り除いたり、有害ガスを吸着したりする装置です。排風機やダクトを守る目的もあります。試験では「局所排気の構成要素」として語られることが多いので、制気口→ダクト→除じん／清浄→排風機、という並びを図にすると覚えやすいです。
労働衛生,騒音の測定,作業場の騒音がどれくらいあるかを、決められた方法で数値化することです。測定点の高さや測定時間、評価量（どの値で判定するか）など、手順の細部が試験の論点になります。初学者は「A特性」「等価騒音レベル」など用語が多く感じるので、用語カードを少しずつ増やすのがおすすめです。
労働衛生,振動の評価,手に伝わる振動（手先振動）や、体全体に伝わる振動（全身振動）など、ばく露の形態によって評価の考え方が変わります。測定・管理の詳細は試験範囲に合わせて学びますが、基本は「振動の大きさ×時間＝負担」というイメージです。騒音と同様、現場の実感と数値を結びつけると定着しやすいです。
労働衛生,ろ過捕集／固体捕集,粒子状物質をフィルターなどに取り込む捕集の考え方です。粒径が小さいほど奥まで入り込みやすく、適切なフィルター選びが重要になります。試験では捕集材の種類や流量との関係が深掘りされることがあるので、基礎は「粒径と捕集の仕組み」から入ると理解が速いです。
労働生理,じん肺,長い間、粉じんを吸い込み続けることで起きる肺の病気（線維化など）の総称です。進行すると呼吸が苦しくなり、生活や仕事に大きな影響が出ます。予防には作業環境の粉じん濃度を下げることと、健康診断で早期に見つけて配置転換などを行うことが重要です。試験では管理法側の手続きと、衛生工学側の粉じん対策がセットで出ます。
労働生理,酸素欠乏症,空気中の酸素が不足すると、頭痛・吐き気・動悸から、重いと意識障害や呼吸停止に至ることがあります。原因は、窒素や二酸化炭素などで空気が置き換わって酸素が薄くなること、あるいは化学反応で酸素が消費されることなど多様です。対策の基本は「入る前に測る」「換気する」「危険なら立ち入らない」で、手順の順番が命に直結します。
労働生理,一酸化炭素中毒,一酸化炭素は無色無臭で気づきにくく、血液中のヘモグロビンと強く結びついて酸素の運搬を妨げます。その結果、組織が酸欠になり、頭痛や吐き気、意識障害が起きます。不完全燃焼（たき火、ボイラー、車の排気など）が典型の発生源で、換気・測定・警報器などの対策が重要です。
労働生理,熱中症／熱疾患,暑さと体の産熱（仕事による発熱）のバランスが崩れ、体温調節が追いつかなくなって起きる障害です。軽症から重症まで幅があり、重症は命に関わります。現場ではWBGTや作業・休憩の管理、水分・塩分の補給、順化などが対策の柱です。試験では重症度の段階や応急処置の考え方が問われやすいです。
労働生理,体温調節,人は体温をほぼ一定に保つよう、脳の体温調節中枢が産熱と放熱のバランスを整えています。暑い環境では発汗や皮膚血管の拡張で熱を逃がし、寒い環境では震えや血管収縮で熱を守ります。熱中症はこの仕組みが追いつかない状態なので、生理の基礎がわかると対策の「なぜ」が腹落ちします。
労働生理,不感蒸泄／発汗,不感蒸泄は自覚しない程度の水分の蒸発で、常に熱を逃がしています。発汗は大量の汗で熱を逃がす仕組みで、湿度が高いと蒸発しにくくなり熱がこもりやすくなります。暑熱環境の理解では「汗が効きにくい条件＝危険が上がる」が重要なので、WBGTの話とつなげて覚えるとよいです。
労働生理,騒音性難聴,長時間の騒音ばく露によって、内耳の感音器が傷み、聴こえにくくなる難聴です。進行はゆっくりで自覚が遅れがちなので、健康診断の聴力検査が重要になります。聴力図の典型的な形は試験範囲によって求められる深さが変わるので、公式テキストの図に合わせて学ぶのが確実です。
労働生理,振動障害,振動工具の長時間使用などで、手指のしびれや白ろう（血流障害）、骨・関節の障害などが起こることがあります。寒冷で悪化しやすいなどの特徴も知られます。評価や測定は労働衛生の分野と接続されますが、生理・病態の理解は「なぜ振動が体に悪いのか」を説明するのに役立ちます。
労働生理,電離放射線,放射線が細胞や分子に電離作用を起こし、傷をつける性質を利用・管理する分野です。健康影響には、線量が高いと確実に起きる確定的影響（皮膚炎など）と、確率が上がる確率的影響（がんなど）という整理が学習の定番です。試験では言葉の定義と、管理の考え方（ALARAなど）がセットで出ます。
労働生理,化学物質の慢性毒性／急性毒性,急性毒性は短時間の大量ばく露で強い症状が出るタイプ、慢性毒性は長期に少しずつ蓄積して障害が出るタイプ、とざっくり分けて理解すると入りやすいです。現場の対策も、漏洩時の緊急対応（急性）と、日常の濃度管理（慢性）で重点が変わります。暴露経路（吸入・皮膚・経口）とセットで整理すると応用が利きます。
労働生理,代謝・蓄積・感作,体内に入った化学物質は分解・排泄（代謝）されやすいものと、脂肪などにたまりやすいもの（蓄積）があります。感作は、一度触れると次からアレルギー様に過敏になる現象で、皮膚障害などと結びつきます。試験では用語の意味を説明できることがまず第一歩です。
労働生理,等価線量・吸収線量,放射線が物質（体の組織など）にどれだけエネルギーを預けたか、あるいは生物学的な重みづけをした量など、防護のための指標です。試験範囲に含まれる場合のみ深掘りが必要で、初学者は「何を表す語か」を短く言えるようにしてから、数値の単位へ進むと負担が減ります。
関係法令,雇入時健康診断,新たに雇い入れた労働者に対して実施する健康診断です。定期健康診断とあわせて、雇入れ時・変更時・定期の流れとして試験で問われます。
関係法令,特殊健康診断,有機溶剤、特定化学物質、鉛、じん肺、電離放射線など、特定の有害業務に従事する労働者を対象とする健康診断です。
関係法令,安全委員会,一定規模以上の事業場で、安全に関する協議を行う委員会です。衛生委員会とは設置要件・対象業種が異なります。
関係法令,常時使用する労働者,選任要件や健康診断の対象を決めるときの基準となる労働者数の数え方です。パートタイム労働者の扱いが頻出です。
労働衛生,管理濃度,作業環境測定の結果を評価するときの指標の一つです。許容濃度・管理区分とセットで問われます。
労働衛生,外付け型局所排気装置,発生源の外側からフード等で汚染空気を捕集する局所排気の形式です。形式ごとの特徴が試験に出ます。
労働衛生,フード型局所排気装置,フードで発散物質を直接捕集する局所排気の代表形式です。フードの形状・位置が捕集効率に影響します。
関係法令,第1種有機溶剤,有機溶剤中毒予防規則で区分される溶剤の一つです。区分ごとに局所排気・作業環境評価・作業主任者などの義務が変わります。
関係法令,第2種有機溶剤,有機溶剤の区分の一つで、使用量や物質により適用される義務が第1種・特別有機溶剤等と異なります。
関係法令,化学物質管理者,化学物質を取り扱う作業場で、法令に基づき選任される管理者です。調査・記録・教育などの職務が問われます。
関係法令,石綿作業,石綿の除去・封じ込め・調査など、石綿障害予防規則の対象となる作業です。手順の厳しさが試験の焦点です。
労働生理,硫化水素中毒,硫化水素による中毒は、タンク・マンホール・下水などで発生し、酸素欠乏作業とセットで問われます。
労働生理,高気圧作業,潜水・シールド工事など、高気圧環境での作業です。減圧症の予防と特殊健康診断が論点になります。
関係法令,深夜業,午後10時から午前5時までの間に行う業務です。健康への影響と、健診・面接指導の要件が問われます。
関係法令,健康管理措置,健康診断の結果に応じて事業者が講じる措置の総称です。就業上の措置・二次健診などと関連します。
関係法令,就業上の措置,健康診断等の結果に基づき、就業禁止・配置転換・作業時間の短縮などを行う措置です。
労働衛生,保護具着用適合性検査,呼吸用保護具などが労働者の顔面に適合しているかを確認する検査です。漏れ込みの防止が目的です。
関係法令,労働者衛生管理記録,労働者ごとの衛生管理上の記録です。健診結果や措置の内容が含まれ、保存期間が試験に出ます。
関係法令,安全衛生改善計画,作業環境の改善や事故防止のため、事業者が策定・実施する計画です。管理体制とセットで問われます。
労働衛生,認定機関,作業環境測定や分析を行うために、事業者が委託できる機関です。測定の信頼性と手続きが論点です。
労働衛生,作業環境管理簿,作業環境測定の結果や管理区分などを記録する帳簿です。記載・保存・掲示が試験に出ます。
労働衛生,A特性騒音レベル,人の聴感に近づけるための補正を施した騒音レベルです。騒音測定の基本用語として頻出です。
労働衛生,防毒マスク,吸着缶などで有害物質を除去する呼吸用保護具です。物質・濃度に応じた選定が重要です。
労働衛生,送気マスク,ホース等で清浄な空気を送り、マスク内を正圧に保つ呼吸用保護具です。酸素欠乏作業などで重要です。
労働衛生,プッシュプル型換気,送風（プッシュ）と排風（プル）を組み合わせ、作業空間の気流を制御する換気方式です。
労働衛生,気流分布,作業空間内の空気の流れのパターンです。換気口の位置や排気の効き方に影響します。
関係法令,特定管理物質,化学物質の中でも、より厳しい管理が求められる物質の区分です。記録保存期間が長いものがあります。
関係法令,特別管理物質,発がん性などが高く、最も厳しい管理が求められる化学物質の区分です。記録保存30年が代表例です。
関係法令,監視人,酸素欠乏等の危険作業で、作業者の安全を監視する者です。立入条件とセットで問われます。
関係法令,立入禁止,空気の状態が危険な場合に、作業者以外の立入を制限する措置です。標識・鍵の管理と関連します。
労働衛生,確保換気,室内の空気を一定の質・量に保つための換気です。換気回数や必要換気量の計算が試験に出ます。
労働生理,感作,一度ばく露すると、以後わずかな量でも過敏反応が起きる現象です。皮膚障害と結びつけて問われます。
労働衛生,避難器具,緊急時に作業者を救出するための器具です。酸素欠乏危険作業では設置・点検が義務づけられます。
労働衛生,標識の掲示,管理区分や危険性を労働者に知らせるため、決められた標識を掲示することです。
関係法令,配置転換,健康上の理由から、労働者を別の作業・職場へ移すことです。じん肺や特殊健診の結果と関連します。
関係法令,二次健康診断,一次健康診断で異常が認められた場合などに実施する、より詳しい健康診断です。実施時期と就業上の措置がセットで問われます。
労働衛生,ろ過捕集,粒子状物質をフィルター等に捕集する方法です。捕集分析法・気集とセットで試験に出ます。
労働衛生,置換換気,室内空気をきれいな外気で置き換える換気方式です。希釈換気・確保換気との違いが問われます。
労働衛生,作業環境測定記録,測定結果を記録し、労働者へ周知するための記録です。保存期間と管理簿との関係が頻出です。
関係法令,有機溶剤作業主任者,有機溶剤作業を安全に行うため選任する作業主任者です。技能講習・選任作業とセットで問われます。
関係法令,特定化学物質作業主任者,特定化学物質作業の現場を統括する作業主任者です。規則ごとの作業主任者と混同しないよう整理します。
関係法令,鉛作業主任者,鉛作業を行う事業場で選任する作業主任者です。鉛中毒予防規則とセットで復習します。
関係法令,酸素欠乏危険作業主任者,酸素欠乏等の危険作業を統括する作業主任者です。測定の実施と手順の順序が重要です。
労働生理,熱射病,暑熱環境で体温調節が破綻し、生命に関わる重症の熱疾患です。熱中症の段階整理で押さえます。
労働生理,熱けいれん,大量の発汗で塩分が失われ、筋肉がけいれんする熱中症の一種です。
労働生理,日射病,直射日光などによる熱中症です。WBGTや作業・休憩管理と関連して問われます。
関係法令,心理的負荷,仕事の精神的負担を評価する概念です。ストレスチェック制度と関連して出題されます。
関係法令,事業者の一般義務,事業者が負う安全衛生上の基本義務です。法の根拠として頻出の論点になります。
関係法令,安全衛生規程,事業場の安全衛生上のルールを定めた規程です。作成義務と周知が問われます。
労働衛生,検知管,ガス濃度を簡易に測る直接読み取り式の器具です。捕集分析法との使い分けが出ます。
労働衛生,パッシブサンプラー,拡散により試料を採取する方法・器具です。個人サンプリングと関連します。
労働衛生,捕集効率,有害物質をどれだけ捕集できたかを示す指標です。局所排気の性能評価に関係します。
労働衛生,局所排気装置の性能検査,局所排気装置が設計どおり機能するか確認する検査です。
労働衛生,給気口,きれいな空気を室内に送り込む開口です。排気口との位置関係が換気効率に影響します。
労働衛生,排気口,汚染空気を屋外へ排出する開口です。発散源との位置関係が重要です。
労働生理,実効線量,防護のための線量指標の一つです。被ばく限度の管理に用いられます。
労働生理,被ばく,放射線や有害因子の影響を受けることです。電離放射線では線量管理が中心になります。
関係法令,放射線業務,電離放射線を使用する業務全般です。管理区域の設定や記録保存が問われます。
労働衛生,管理図,管理区域などを示す図面です。立入管理・表示義務と関連します。
労働生理,石綿粉じん,石綿による粉じんばく露です。石綿障害予防規則とじん肺の話題と接続します。
関係法令,有害業務,衛生管理者の区分や試験範囲を決めるうえで重要な概念です。
関係法令,免許申請,試験合格後に行う免許の申請手続きです。申請期限などは公式要項で確認します。
関係法令,第3種有機溶剤,有機溶剤区分の一つです。特別・第1種・第2種とあわせて義務の差を表で整理します。
関係法令,有機溶剤作業,有機溶剤を使用する作業全般を指します。規則の適用範囲の入口になります。
関係法令,特定化学物質作業,特定化学物質を取り扱う作業です。物質ごとの管理区分が試験の中心です。
関係法令,鉛作業,鉛や鉛化合物を取り扱う作業です。空気中濃度・健診・保護具がセットで出ます。
労働生理,四アルキル鉛,有機鉛化合物の代表例です。皮膚吸収などばく露経路の整理が重要です。
労働生理,クロム酸,皮膚潰瘍や呼吸器障害のおそれがある物質の例です。特定化学物質の学習例として出ます。
労働生理,ベンゼン,発がん性などが知られる芳香族炭化水素です。特別管理物質の代表例として整理します。
労働生理,トリクロロエチレン,脱脂・洗浄などに用いられる有機溶剤です。中枢神経系への影響が試験で問われます。
労働生理,フォルマルデヒド,刺激作用や感作性が知られる化学物質です。管理物質区分とGHS表示と関連します。
労働衛生,吸引採取,ポンプ等で空気を吸引し試料を採取する方法です。作業環境測定の基本手順です。
労働衛生,液捕集,液体に有害物質を吸収させて捕集する方法です。ガス・蒸気の測定で用いられます。
労働衛生,グラブサンプリング,短時間の試料を一括採取する方法です。濃度の瞬間値把握に用いられます。
労働衛生,防護衣,皮膚へのばく露を防ぐ保護具です。化学物質の性状に応じた選定が重要です。
労働衛生,防護手袋,手の皮膚を守る保護具です。物質による浸透・貫通の違いが試験に出ます。
労働衛生,保護メガネ,眼へのばく露を防ぐ保護具です。側板付きなど形状の違いが論点になります。
労働衛生,エアラインマスク,外部から清浄空気を送る呼吸用保護具の一種です。送気マスクとセットで整理します。
労働衛生,化学防護服,高リスク化学物質作業で用いる防護服です。液密・気密などの区分が問われます。
労働生理,発がん性,長期ばく露でがんのリスクが高まる性質です。管理物質区分と関連します。
労働生理,変異原性,遺伝子への損傷のおそれがある性質です。GHS分類とリスク評価に関係します。
労働生理,生殖毒性,生殖能や胎児への影響のおそれがある毒性です。妊産婦保護と接続します。
労働生理,全身振動,体全体に伝わる振動です。フォークリフト等の運転作業で問題になります。
労働生理,手先振動,振動工具などで手に伝わる振動です。振動障害の中心テーマです。
労働生理,白ろう,寒冷や振動で手指が蒼白になる症状です。振動障害の代表例です。
労働生理,レイノー現象,血管の痙攣により手指の色調が変わる現象です。振動ばく露と関連します。
労働衛生,衝撃音,瞬間的に大きい騒音です。騒音測定の評価方法と関連します。
労働衛生,連続騒音,比較的安定して続く騒音です。等価騒音レベルで評価されます。
労働生理,聴力レベル,健康診断の聴力検査で用いる指標です。騒音性難聴の判定に関係します。
労働生理,騒音障害,騒音ばく露による健康障害の総称です。測定・保護具・健診がセットで出ます。
関係法令,妊娠中の措置,妊娠中の労働者に対する就業上の配慮です。時間外・深夜業の制限などが論点です。
関係法令,授乳中の措置,授乳中の労働者に対する保護措置です。有害業務への就業制限と関連します。
関係法令,協力者,危険作業で作業者を支援する者です。監視人・救助体制とセットで問われます。
労働衛生,酸素濃度計,空気中の酸素濃度を測る器具です。作業開始前測定の必須機器です。
労働衛生,簡易測定機器,手軽に濃度を把握する測定器です。正式な作業環境測定との使い分けが重要です。
労働衛生,第1管理,作業環境管理区分の一つです。管理濃度超過時の措置が問われます。
労働衛生,第2管理,中間的な管理区分です。測定結果と許容・管理濃度の関係で判定します。
労働衛生,第3管理,比較的良好な作業環境の区分です。管理区分の判定フローで押さえます。
労働衛生,措置A,管理区分に応じて講じる改善措置の一つです。措置Bとの違いが頻出です。
労働衛生,措置B,作業環境を改善するための措置です。措置Aとあわせて暗記表にすると覚えやすいです。
関係法令,技能講習,危険有害作業で必要となる技能の習得講習です。作業主任者選任の要件と関連します。
関係法令,専任の衛生管理者,衛生管理業務に専念する衛生管理者です。事業場規模により専任が必要になります。
関係法令,兼務の衛生管理者,他業務と兼ねる衛生管理者です。専任が必要な規模では選任できません。
労働衛生,認定衛生評価士,作業環境の評価等を行う国家資格者です。測定士・認定機関と役割分担します。
労働衛生,避難経路,緊急時に安全に退避するための経路です。危険作業場の安全管理と関連します。
関係法令,救助要預者,危険作業で救助体制を担う者です。監視人・協力者とセットで手順を覚えます。
